name	hashes	dependencies
purrr	e508c91302de7ea709e1b81f34a4f5fd	magrittr
purrr	e508c91302de7ea709e1b81f34a4f5fd	rlang
purrr	e508c91302de7ea709e1b81f34a4f5fd	vctrs
ragg	d131b4faa2dd297f94019dc8eb177190	systemfonts
ragg	d131b4faa2dd297f94019dc8eb177190	textshaping
rcmdcheck	bc480ecf67810470905216df684cc3ad	callr
rcmdcheck	bc480ecf67810470905216df684cc3ad	cli
rcmdcheck	bc480ecf67810470905216df684cc3ad	curl
rcmdcheck	bc480ecf67810470905216df684cc3ad	desc
rcmdcheck	bc480ecf67810470905216df684cc3ad	digest
rcmdcheck	bc480ecf67810470905216df684cc3ad	pkgbuild
rcmdcheck	bc480ecf67810470905216df684cc3ad	prettyunits
rcmdcheck	bc480ecf67810470905216df684cc3ad	R6
rcmdcheck	bc480ecf67810470905216df684cc3ad	rprojroot
rcmdcheck	bc480ecf67810470905216df684cc3ad	sessioninfo
rcmdcheck	bc480ecf67810470905216df684cc3ad	utils
rcmdcheck	bc480ecf67810470905216df684cc3ad	withr
rcmdcheck	bc480ecf67810470905216df684cc3ad	xopen
readr	8756894501ebba572593570c2baa4861	cli
readr	8756894501ebba572593570c2baa4861	clipr
readr	8756894501ebba572593570c2baa4861	crayon
readr	8756894501ebba572593570c2baa4861	hms
readr	8756894501ebba572593570c2baa4861	lifecycle
readr	8756894501ebba572593570c2baa4861	methods
readr	8756894501ebba572593570c2baa4861	R6
readr	8756894501ebba572593570c2baa4861	rlang
readr	8756894501ebba572593570c2baa4861	tibble
